url,league_name,team_name,team_country
550,German 3. Bundesliga ,VfR Aalen,
300,Norwegian Eliteserien ,Viking FK,Norway
346,English League Two ,Yeovil Town,
110749,Polish T-Mobile Ekstraklasa ,Zagłębie Lubin,Poland
113057,Saudi Abdul L. Jameel League ,Al Fayha,Saudi Arabia
113186,Japanese J. League Division 1 ,Avispa Fukuoka,
112934,Colombian Liga Postobón ,Cortuluá,
110467,Czech Republic Gambrinus Liga ,1. FC Brno,
112390,Saudi Abdul L. Jameel League ,Al Fateh,Saudi Arabia
110234,Russian Premier League ,Amkar Perm,
110756,Russian Premier League ,Arsenal Tula,
112119,Campeonato Brasileiro Série A ,Atlético Clube Goianiense,
112528,Colombian Liga Postobón ,Atlético Huila,Colombia
111976,Campeonato Brasileiro Série A ,Avaí FC,Brazil
111707,Argentina Primera División  ,Club Atlético Aldosivi,Argentina
112585,Chilian Campeonato Nacional ,Deportivo Ñublense,
312,Russian Premier League ,Dinamo Moscow,
112526,Colombian Liga Postobón ,Envigado FC,Colombia
10020,Portuguese Liga ZON SAGRES ,Estoril Praia,
112096,Saudi Abdul L. Jameel League ,Ettifaq FC,Saudi Arabia
110233,Russian Premier League ,FC Tom Tomsk,
2045,Austrian Football Bundesliga ,FC Wacker Innsbruck,
918,Norwegian Eliteserien ,FK Bodø/Glimt,Norway
110911,Italian Serie B ,Foggia,
111052,Campeonato Brasileiro Série A ,Fortaleza,Brazil
110316,French Ligue 2 ,GFC Ajaccio,
101024,Turkish Süper Lig ,Gaziantepspor,
111491,Italian Serie B ,Grosseto,
112258,Korean K League Classic ,GwangJu FC,
111705,Swedish Allsvenskan ,IF Brommapojkarna,
700,Swedish Allsvenskan ,IF Elfsborg,Sweden
1524,Norwegian Eliteserien ,IK Start,
110765,Korean K League Classic ,Incheon United FC,Korea Republic
112679,Mexican Liga MX ,Jaguares de Chiapas,
112903,Colombian Liga Postobón ,Jaguares de Córdoba,Colombia
1478,Korean K League Classic ,Jeju United FC,Korea Republic
101145,Japanese J. League Division 1 ,Kashiwa Reysol,
112523,Colombian Liga Postobón ,La Equidad,Colombia
239,Belgian Jupiler Pro League ,Lierse SK,
621,Scottish Premiership ,Livingston FC,Scotland
112505,Polish T-Mobile Ekstraklasa ,Miedź Legnica,
112925,Argentina Primera División  ,Nueva Chicago,
1456,Norwegian Eliteserien ,Odds BK,Norway
110912,Italian Serie B ,Padova,
112527,Colombian Liga Postobón ,Patriotas Boyacá FC,Colombia
111802,Italian Serie B ,Ravenna,
1828,German 2. Bundesliga ,Rot-Weiß Oberhausen,
780,Austrian Football Bundesliga ,SV Ried,
110694,German 3. Bundesliga ,SV Werder Bremen II,
110149,Mexican Liga MX ,San Luis,
112668,Chilian Campeonato Nacional ,San Luis de Quillota,
111713,Argentina Primera División  ,San Martín de San Juan,
111114,International,Saudi Arabia,
324,Swiss Super League ,Servette FC,Switzerland
110714,Spanish Segunda División ,Sevilla Atlético,
917,Norwegian Eliteserien ,Stabæk Fotball,Norway
922,Norwegian Eliteserien ,Strømsgodset IF,Norway
570,Italian Serie B ,Ternana,
110526,German 2. Bundesliga ,TuS Koblenz,
112552,French Ligue 2 ,US Quevilly Rouen Métropole,
1366,International,Ukraine,
